date,close
2018/12/27,1
2019/1/18,1.0029
2019/1/21,1.0065
2019/1/22,0.9972
2019/1/23,0.9988
2019/1/24,1.002
2019/1/25,1.0011
2019/1/28,0.9983
2019/1/29,0.9961
2019/1/30,0.9865
2019/1/31,0.983
2019/2/1,0.9992
2019/2/11,1.0205
2019/2/12,1.0314
2019/2/13,1.0469
2019/2/14,1.0511
2019/2/15,1.0488
2019/2/18,1.0789
2019/2/19,1.0826
2019/2/20,1.0854
2019/2/21,1.08
2019/2/22,1.1027
2019/2/25,1.1569
2019/2/26,1.1567
2019/2/27,1.1533
2019/2/28,1.1564
2019/3/1,1.1685
2019/3/4,1.1903
2019/3/5,1.2236
2019/3/6,1.2475
2019/3/7,1.2612
2019/3/8,1.2254
2019/3/11,1.2685
2019/3/12,1.2908
2019/3/13,1.2673
2019/3/14,1.2418
2019/3/15,1.2586
2019/3/18,1.2926
2019/3/19,1.2989
2019/3/20,1.3008
2019/3/21,1.3162
2019/3/22,1.3228
2019/3/25,1.3091
2019/3/26,1.2782
2019/3/27,1.2986
2019/3/28,1.2826
2019/3/29,1.3248
2019/4/1,1.3748
2019/4/2,1.386
2019/4/3,1.4038
2019/4/4,1.4168
2019/4/8,1.4169
2019/4/9,1.4149
2019/4/10,1.4186
2019/4/11,1.3944
2019/4/12,1.3914
2019/4/15,1.3832
2019/4/16,1.4197
2019/4/17,1.428
2019/4/18,1.4231
2019/4/19,1.434
2019/4/22,1.417
2019/4/23,1.4002
2019/4/24,1.4124
2019/4/25,1.3607
2019/4/26,1.3467
2019/4/29,1.3082
2019/4/30,1.3179
2019/5/6,1.2226
2019/5/7,1.2406
2019/5/8,1.2305
2019/5/9,1.2202
2019/5/10,1.278
2019/5/13,1.2638
2019/5/14,1.2591
2019/5/15,1.2886
2019/5/16,1.2964
2019/5/17,1.2557
2019/5/20,1.2513
2019/5/21,1.2703
2019/5/22,1.2641
2019/5/23,1.2369
2019/5/24,1.2242
2019/5/27,1.2614
2019/5/28,1.2627
2019/5/29,1.2666
2019/5/30,1.2579
2019/5/31,1.2544
