悟鑫_平凡_管理人
微观一号_时代复兴_托管人
期权套利1号_泓倍_托管人
稳进1号_展弘_托管人
稳健1号_格量_托管人
CTA专享2号_九坤_托管人
进取2号_洛书_托管人
三号_卓跞_托管人
悟量_平凡_管理人
致远稳健一号_致诚卓远_托管人
宽墨11号_鸣石_托管人
中性1号_明汯_托管人
量化对冲2号_幻方_托管人
套利三号_弈泰_托管人
稳进1号_展弘_托管人
